Filers,VotesName
Friends of Andy Toy,ANDREW   TOY
Green for Philadelphia,BILL   GREEN
FRIENDS OF BLONDELL REYNOLDS BROWN,BLONDELL   REYNOLDS BROWN
Friends of Blondell Reynolds Brown,BLONDELL   REYNOLDS BROWN
Edward J Nesmith,EDWARD J NESMITH
Nesmith For Council,EDWARD J NESMITH
Friends of Perez,HUMBERTO PEREZ
Friends of Isaiah Thomas ,ISAIAH   THOMAS
Kenney For Council,JAMES F KENNEY
Committee to ElectJEManson,JANIS E MANSON
Clark 4 Change ,LAWRENCE P CLARK
Clark for Change 2011,LAWRENCE P CLARK
Clark 4 Change 2011,LAWRENCE P CLARK
Clark 4 Change,LAWRENCE P CLARK
Michael Jones,MICHAEL   JONES
Citizens for Ralph P. Blakney,RALPH P BLAKNEY
Ralph P. Blakney,RALPH P BLAKNEY
Sherrie Cohen,SHERRIE   COHEN
Elect Cohen for Council,SHERRIE   COHEN
Cohen for Council,SHERRIE   COHEN
ELECT COHEN FOR COUNCIL,SHERRIE   COHEN
"W. Wilson Goode, Jr.",W WILSON   GOODE JR
Greenlee for Council-at-Large,WILLIAM K GREENLEE
