idx,Filers,Party,Office Sought,District,VotesName
1,Ed Neilson,Dem,City Council,At Large,ED NEILSON
11,Friends of Helen Gym,Dem,City Council,At Large,HELEN GYM
14,Tracy for Council,Rep,City Council,At Large,TERRY TRACY
15,Paul Steinke,Dem,City Council,At Large,PAUL STEINKE
16,www.wolfe.org,Rep,City Council,At Large,MATT WOLFE
17,Greenlee for Council-at-Large,Dem,City Council,At Large,WILLIAM K GREENLEE
21,Domb for Council,Dem,City Council,At Large,ALLAN DOMB
24,Friends of Blondell Reynolds Brown,Dem,City Council,At Large,BLONDELL REYNOLDS BROWN
25,Friends of Tom Wyatt,Dem,City Council,At Large,THOMAS WYATT
33,Alexander for City Council 2015,Dem,City Council,At Large,WILSON ALEXANDER
36,The Green Fund,Dem,City Council,At Large,DEREK S GREEN
47,Daniel Tinney,Rep,City Council,At Large,DANIEL TINNEY
55,Denny O'Brien for Philadelphia,Rep,City Council,At Large,DENNIS M O BRIEN
59,Citizens for David Oh,Rep,City Council,At Large,DAVID OH
60,JAMES WILLIAMS,Rep,City Council,At Large,JAMES WILLIAMS
62,Friends of Paul Steinke,Dem,City Council,At Large,PAUL STEINKE
73,Neilson for Council,Dem,City Council,At Large,ED NEILSON
76,Friends of James Williams,Rep,City Council,At Large,JAMES WILLIAMS
93,Taubenberger for Philadelphia,Rep,City Council,At Large,AL TAUBENBERGER
105,Terrence Tracy,Rep,City Council,At Large,TERRY TRACY
113,"W. Wilson Goode, Jr.",Dem,City Council,At Large,W WILSON GOODE JR
154,Dan Tinney for City Council,Rep,City Council,At Large,DANIEL TINNEY
156,David Oh,Rep,City Council,At Large,DAVID OH
161,Frank Rizzo 07 Committee,Rep,City Council,At Large,FRANK RIZZO
165,Friends of Isaiah Thomas,Dem,City Council,At Large,ISAIAH THOMAS
178,Allan Domb,Dem,City Council,At Large,ALLAN DOMB
191,Helen Gym,Dem,City Council,At Large,HELEN GYM
196,Frank Rizzo '15 Committee,Dem,City Council,At Large,FRANK RIZZO
215,Marnie Aument-Loughrey for Change,Dem,City Council,At Large,MARNIE AUMENT LOUGHREY
216,Domb for City Council,Dem,City Council,At Large,ALLAN DOMB
217,Greenlee PAC,Dem,City Council,At Large,WILLIAM K GREENLEE
230,Friends of Jenne Ayers,Dem,City Council,At Large,JENNE AYERS
242,Sherrie Cohen,Dem,City Council,At Large,SHERRIE COHEN
253,Cohen For Council,Dem,City Council,At Large,SHERRIE COHEN
269,friends of carla cain,Dem,City Council,At Large,CARLA M CAIN
273,Frank Rizzo,Dem,City Council,At Large,FRANK RIZZO
278,Citizens For David Oh,Rep,City Council,At Large,DAVID OH
284,Matt Wolfe,Rep,City Council,At Large,MATT WOLFE
288,Derek S. Green,Dem,City Council,At Large,DEREK S GREEN
300,Blondell Reynolds Brown,Dem,City Council,At Large,BLONDELL REYNOLDS BROWN
308,William K. Greenlee,Dem,City Council,At Large,WILLIAM K GREENLEE
310,carla cain,Dem,City Council,At Large,CARLA M CAIN
353,Wilson Alexander,Dem,City Council,At Large,WILSON ALEXANDER
378,Alexander For City Council 2015,Dem,City Council,At Large,WILSON ALEXANDER
387,Carla Cain,Dem,City Council,At Large,CARLA M CAIN
388,Friends of carla cain,Dem,City Council,At Large,CARLA M CAIN
399,Daniel Tinney for City Council,Rep,City Council,At Large,DANIEL TINNEY
400,Daniel TInney,Rep,City Council,At Large,DANIEL TINNEY
428,James Williams,Rep,City Council,At Large,JAMES WILLIAMS
501,Blondell Reynolds-Brown,Dem,City Council,At Large,BLONDELL REYNOLDS BROWN
